title,description,similarity_score
Print Binding and Finishing Workers,Print Binding and Finishing Workers Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,0.00948029150242136
Amusement and Recreation Attendants,"Amusement and Recreation Attendants Perform variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides.",0.009434631155532967
Receptionists and Information Clerks,"Receptionists and Information Clerks Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization.",0.009409349331122962
Helpers--Carpenters,"Helpers--Carpenters Help carpenters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.",0.009362284962491387
Assessors,Assessors Appraise real and personal property to determine its fair value. May assess taxes in accordance with prescribed schedules.,0.009357907076623399
Purchasing Managers,"Purchasing Managers Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",0.009323050172092662
Speech-Language Pathologists,"Speech-Language Pathologists Assess and treat persons with speech, language, voice, and fluency disorders. May select alternative communication systems and teach their use. May perform research related to speech and language problems.",0.00931533201634827
"Dentists, General","Dentists, General Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care.",0.009296891403223529
Curators,"Curators Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution.",0.009245961382783639
"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmers Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.",0.00921154952639056
Non-Destructive Testing Specialists,"Non-Destructive Testing Specialists Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.",0.00919969356067152
Environmental Compliance Inspectors,"Environmental Compliance Inspectors Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",0.009177955171230398
"Mathematical Science Occupations, All Other","Mathematical Science Occupations, All Other All mathematical scientists not listed separately.",0.009155775315643244
Helpers--Electricians,"Helpers--Electricians Help electricians by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.",0.009058447615672085
Helpers--Roofers,"Helpers--Roofers Help roofers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.",0.009058447615672085
Biofuels Production Managers,"Biofuels Production Managers Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",0.009015386703328583
Sound Engineering Technicians,"Sound Engineering Technicians Operate machines and equipment to record, synchronize, mix, or reproduce music, voices, or sound effects in sporting arenas, theater productions, recording studios, or movie and video productions.",0.008971112878731233
Freight Forwarders,"Freight Forwarders Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation.",0.00893689841347837
Machinists,"Machinists Set up and operate a variety of machine tools to produce precision parts and instruments. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.",0.008914039925861643
Midwives,Midwives Provide prenatal care and childbirth assistance.,0.008878551945608614
Structural Metal Fabricators and Fitters,"Structural Metal Fabricators and Fitters Fabricate, position, align, and fit parts of structural metal products.",0.008848804742736938
Conservation Scientists,"Conservation Scientists Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",0.00880341699888167
Robotics Engineers,"Robotics Engineers Research, design, develop, or test robotic applications.",0.008778077213926112
Medical Records and Health Information Technicians,"Medical Records and Health Information Technicians Compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the health care system. Process, maintain, compile, and report patient information for health requirements and standards in a manner consistent with the healthcare industry's numerical coding system.",0.00873398039502762
Infantry,"Infantry Operate weapons and equipment in ground combat operations. Duties include operating and maintaining weapons, such as rifles, machine guns, mortars, and hand grenades; locating, constructing, and camouflaging infantry positions and equipment; evaluating terrain and recording topographical information; operating and maintaining field communications equipment; assessing need for and directing supporting fire; placing explosives and performing minesweeping activities on land; and participating in basic reconnaissance operations.",0.00872366297046669
Marine Engineers,"Marine Engineers Design, develop, and take responsibility for the installation of ship machinery and related equipment including propulsion machines and power supply systems.",0.008708834311992665
Aviation Inspectors,"Aviation Inspectors Inspect aircraft, maintenance procedures, air navigational aids, air traffic controls, and communications equipment to ensure conformance with Federal safety regulations.",0.008694477445391152
Music Directors and Composers,"Music Directors and Composers Conduct, direct, plan, and lead instrumental or vocal performances by musical groups, such as orchestras, bands, choirs, and glee clubs. Includes arrangers, composers, choral directors, and orchestrators.",0.008687635582550639
Motorboat Mechanics and Service Technicians,Motorboat Mechanics and Service Technicians Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.,0.008678026125969502
Producers,"Producers Plan and coordinate various aspects of radio, television, stage, or motion picture production, such as selecting script, coordinating writing, directing and editing, and arranging financing.",0.008602500204859795
Pharmacy Aides,"Pharmacy Aides Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling.",0.008575670645148028
"Appraisers, Real Estate","Appraisers, Real Estate Appraise real property to determine its value for purchase, sales, investment, mortgage, or loan purposes.",0.008567428828786413
Airfield Operations Specialists,Airfield Operations Specialists Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel; dispatching; using airfield landing and navigational aids; implementing airfield safety procedures; monitoring and maintaining flight records; and applying knowledge of weather information.,0.008529053141772195
Climate Change Analysts,"Climate Change Analysts Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.",0.008465269667886688
Molecular and Cellular Biologists,Molecular and Cellular Biologists Research and study cellular molecules and organelles to understand cell function and organization.,0.008378132814908073
"Mobile Heavy Equipment Mechanics, Except Engines","Mobile Heavy Equipment Mechanics, Except Engines Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and surface mining.",0.008335768137979841
Licensed Practical and Licensed Vocational Nurses,"Licensed Practical and Licensed Vocational Nurses Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required.",0.008148918981677173
Drywall and Ceiling Tile Installers,"Drywall and Ceiling Tile Installers Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings or partitions of buildings to provide support base for plaster, fire-proofing, or acoustical material.",0.008045707667233636
Nuclear Technicians,"Nuclear Technicians Assist nuclear physicists, nuclear engineers, or other scientists in laboratory or production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.",0.008016771066530036
Log Graders and Scalers,"Log Graders and Scalers Grade logs or estimate the marketable content or value of logs or pulpwood in sorting yards, millpond, log deck, or similar locations. Inspect logs for defects or measure logs to determine volume.",0.00801515634496264
Landscaping and Groundskeeping Workers,"Landscaping and Groundskeeping Workers Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.",0.00796138852424158
Air Crew Officers,"Air Crew Officers Perform and direct in-flight duties to ensure the successful completion of combat, reconnaissance, transport, and search and rescue missions. Duties include operating aircraft communications and radar equipment, such as establishing satellite linkages and jamming enemy communications capabilities; operating aircraft weapons and defensive systems; conducting pre-flight, in-flight, and post-flight inspections of onboard equipment; and directing cargo and personnel drops.",0.007948587174491739
Physicists,"Physicists Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.",0.007940920883362708
Biochemists and Biophysicists,"Biochemists and Biophysicists Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",0.007938080411821079
Appraisers and Assessors of Real Estate,Appraisers and Assessors of Real Estate Appraise real property and estimate its fair value. May assess taxes in accordance with prescribed schedules.,0.007908415735171998
Fence Erectors,"Fence Erectors Erect and repair fences and fence gates, using hand and power tools.",0.007866685971482674
Criminal Investigators and Special Agents,"Criminal Investigators and Special Agents Investigate alleged or suspected criminal violations of Federal, state, or local laws to determine if evidence is sufficient to recommend prosecution.",0.007854272078421645
Police and Sheriff's Patrol Officers,"Police and Sheriff's Patrol Officers Maintain order and protect life and property by enforcing local, tribal, State, or Federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts.",0.007850705373309706
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.",0.007826355795641927
Product Safety Engineers,Product Safety Engineers Develop and conduct tests to evaluate product safety levels and recommend measures to reduce or eliminate hazards.,0.007799877633263685
Cement Masons and Concrete Finishers,"Cement Masons and Concrete Finishers Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints.",0.007769842756415092
Helpers--Production Workers,"Helpers--Production Workers Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.",0.00775815618639096
"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other All healthcare practitioners and technical workers not listed separately.",0.007670479529674663
"Pilots, Ship","Pilots, Ship Command ships to steer them into and out of harbors, estuaries, straits, or sounds, or on rivers, lakes, or bays. Must be licensed by U.S. Coast Guard with limitations indicating class and tonnage of vessels for which license is valid and route and waters that may be piloted.",0.007667364011932728
Medical Assistants,"Medical Assistants Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.",0.0076252239439026336
Light Truck or Delivery Services Drivers,"Light Truck or Delivery Services Drivers Drive a light vehicle, such as a truck or van, with a capacity of less than 26,000 pounds Gross Vehicle Weight (GVW), primarily to deliver or pick up merchandise or to deliver packages. May load and unload vehicle.",0.0076160125584414885
Technical Writers,"Technical Writers Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist in layout work.",0.007603648041838685
Advertising Sales Agents,"Advertising Sales Agents Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or the Internet. Includes individuals who obtain leases for outdoor advertising sites or persuade retailers to use sales promotion display items.",0.007536620893117414
Copy Writers,Copy Writers Write advertising copy for use by publication or broadcast media to promote sale of goods and services.,0.007513185616745306
Public Address System and Other Announcers,"Public Address System and Other Announcers Make announcements over public address system at sporting or other public events. May act as master of ceremonies or disc jockey at weddings, parties, clubs, or other gathering places.",0.007503609248280243
"Financial Managers, Branch or Department","Financial Managers, Branch or Department Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",0.007497260683876027
"Patternmakers, Metal and Plastic","Patternmakers, Metal and Plastic Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.",0.007478453440248273
Reinforcing Iron and Rebar Workers,"Reinforcing Iron and Rebar Workers Position and secure steel bars or mesh in concrete forms in order to reinforce concrete. Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools. Includes rod busters.",0.007414821956946021
Personal Financial Advisors,"Personal Financial Advisors Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives.",0.007398297008840651
Wellhead Pumpers,Wellhead Pumpers Operate power pumps and auxiliary equipment to produce flow of oil or gas from wells in oil field.,0.0073668004124526
Surgeons,"Surgeons Physicians who treat diseases, injuries, and deformities by invasive, minimally-invasive, or non-invasive surgical methods, such as using instruments, appliances, or by manual manipulation.",0.007299988382158988
Marine Engineers and Naval Architects,"Marine Engineers and Naval Architects Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",0.007297337064353586
Editors,"Editors Plan, coordinate, or edit content of material for publication. May review proposals and drafts for possible publication. Includes technical editors.",0.007271334615215911
Ophthalmic Medical Technicians,"Ophthalmic Medical Technicians Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses.",0.007266500443686362
Biostatisticians,Biostatisticians Develop and apply biostatistical theory and methods to the study of life sciences.,0.00722874363345268
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weighers, Measurers, Checkers, and Samplers, Recordkeeping Weigh, measure, and check materials, supplies, and equipment for the purpose of keeping relevant records. Duties are primarily clerical by nature. Includes workers who collect and keep record of samples of products or materials.",0.007155111006873592
Geneticists,"Geneticists Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",0.007100922482932924
Barbers,"Barbers Provide barbering services, such as cutting, trimming, shampooing, and styling hair, trimming beards, or giving shaves.",0.007100869854774177
"Airline Pilots, Copilots, and Flight Engineers","Airline Pilots, Copilots, and Flight Engineers Pilot and navigate the flight of fixed-wing, multi-engine aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo. Requires Federal Air Transport Pilot certificate and rating for specific aircraft type used. Includes regional, National, and international airline pilots and flight instructors of airline pilots.",0.0070527779406704535
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers Monitor recreational areas, such as pools, beaches, or ski slopes to provide assistance and protection to participants.",0.007049296377123245
"Roof Bolters, Mining","Roof Bolters, Mining Operate machinery to install roof support bolts in underground mine.",0.006979054803412297
"Insurance Adjusters, Examiners, and Investigators","Insurance Adjusters, Examiners, and Investigators Investigate, analyze, and determine the extent of insurance company's liability concerning personal, casualty, or property loss or damages, and attempt to effect settlement with claimants. Correspond with or interview medical specialists, agents, witnesses, or claimants to compile information. Calculate benefit payments and approve payment of claims within a certain monetary limit.",0.0069786373971708945
Food Science Technicians,Food Science Technicians Perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products.,0.006970952803156022
Prosthodontists,"Prosthodontists Construct oral prostheses to replace missing teeth and other oral structures to correct natural and acquired deformation of mouth and jaws, to restore and maintain oral function, such as chewing and speaking, and to improve appearance.",0.006965924063185621
Robotics Technicians,"Robotics Technicians Build, install, test, or maintain robotic equipment or related automated production systems.",0.0069394816736336054
Loan Officers,"Loan Officers Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters.",0.006838250122642476
Home Health Aides,"Home Health Aides Provide routine individualized healthcare such as changing bandages and dressing wounds, and applying topical medications to the elderly, convalescents, or persons with disabilities at the patient's home or in a care facility. Monitor or report changes in health status. May also provide personal care such as bathing, dressing, and grooming of patient.",0.006832431868087047
Soil and Water Conservationists,"Soil and Water Conservationists Plan or develop coordinated practices for soil erosion control, soil or water conservation, or sound land use.",0.006765930548003208
"Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Gas Operate a variety of drills such as rotary, churn, and pneumatic to tap sub-surface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. May use explosives. Includes horizontal and earth boring machine operators.",0.006740539971123319
Athletic Trainers,"Athletic Trainers Evaluate and advise individuals to assist recovery from or avoid athletic-related injuries or illnesses, or maintain peak physical fitness. May provide first aid or emergency care.",0.0067298237460983595
Wind Turbine Service Technicians,"Wind Turbine Service Technicians Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.",0.0066920411011787105
Court Clerks,"Court Clerks Perform clerical duties in court of law; prepare docket of cases to be called; secure information for judges; and contact witnesses, attorneys, and litigants to obtain information for court.",0.006656338418037004
Insurance Claims Clerks,Insurance Claims Clerks Obtain information from insured or designated persons for purpose of settling claim with insurance carrier.,0.006653246097464236
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semi-finished materials for manufacturing.",0.006639646466706623
Commercial Pilots,"Commercial Pilots Pilot and navigate the flight of fixed-winged aircraft on nonscheduled air carrier routes, or helicopters. Requires Commercial Pilot certificate. Includes charter pilots with similar certification, and air ambulance and air tour pilots.",0.006637858577715634
Labor Relations Specialists,"Labor Relations Specialists Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",0.006601694858205022
Medical Appliance Technicians,"Medical Appliance Technicians Construct, fit, maintain, or repair medical supportive devices, such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances.",0.006589219288473853
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation Inspect and monitor transportation equipment, vehicles, or systems to ensure compliance with regulations and safety standards.",0.006589104914453004
Construction Laborers,"Construction Laborers Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris and other waste materials. May assist other craft workers.",0.006552136876536609
Air Traffic Controllers,"Air Traffic Controllers Control air traffic on and within vicinity of airport and movement of air traffic between altitude sectors and control centers according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.",0.006550040187387267
Loss Prevention Managers,"Loss Prevention Managers Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",0.006547628836887233
Order Clerks,"Order Clerks Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.",0.00653229231374692
Diagnostic Medical Sonographers,Diagnostic Medical Sonographers Produce ultrasonic recordings of internal organs for use by physicians.,0.006511282457682284
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.",0.006484652574843389
Treasurers and Controllers,"Treasurers and Controllers Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",0.006480486946937858
"Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agents Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",0.0064712991222179795
Ophthalmic Laboratory Technicians,"Ophthalmic Laboratory Technicians Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.",0.0064237234560452616
Driver/Sales Workers,"Driver/Sales Workers Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery. Includes newspaper delivery drivers.",0.006410747840334306
Gaming and Sports Book Writers and Runners,"Gaming and Sports Book Writers and Runners Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and payout winnings for those wagers.",0.006392235344298944
"Sales and Related Workers, All Other","Sales and Related Workers, All Other All sales and related workers not listed separately.",0.006349256396763992
Medical Transcriptionists,"Medical Transcriptionists Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction.",0.006345482943845911
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic Set up, operate, or tend more than one type of cutting or forming machine tool or robot.",0.006344503747680478
Athletes and Sports Competitors,Athletes and Sports Competitors Compete in athletic events.,0.006341251456468346
Set and Exhibit Designers,"Set and Exhibit Designers Design special exhibits and movie, television, and theater sets. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles.",0.006334358963563992
"Construction and Related Workers, All Other","Construction and Related Workers, All Other All construction and related workers not listed separately.",0.00632954596745442
Transportation Security Screeners,"Transportation Security Screeners Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints.",0.006317315278172027
Government Property Inspectors and Investigators,Government Property Inspectors and Investigators Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,0.006313538637360261
"Office Clerks, General","Office Clerks, General Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, stenography, office machine operation, and filing.",0.006287926853378489
Photographers,"Photographers Photograph people, landscapes, merchandise, or other subjects, using digital or film cameras and equipment. May develop negatives or use computer software to produce finished images and prints. Includes scientific photographers, aerial photographers, and photojournalists.",0.006262887710366436
Computer Network Support Specialists,"Computer Network Support Specialists Analyze, test, troubleshoot, and evaluate existing network systems, such as local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Perform network maintenance to ensure networks operate correctly with minimal interruption.",0.006248370327770491
Real Estate Sales Agents,"Real Estate Sales Agents Rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",0.0061243765072129495
Physical Therapist Aides,"Physical Therapist Aides Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area.",0.006100603852089148
Gem and Diamond Workers,"Gem and Diamond Workers Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.",0.0060990765109361815
Funeral Service Managers,"Funeral Service Managers Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",0.006096184353401742
Nuclear Monitoring Technicians,"Nuclear Monitoring Technicians Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.",0.006027137651089158
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.",0.006017232572771356
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.",0.005973246724248153
Paralegals and Legal Assistants,"Paralegals and Legal Assistants Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",0.005928056403338803
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.",0.0059122323751951865
Recreation Workers,"Recreation Workers Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members.",0.00590243552772966
Forest and Conservation Workers,"Forest and Conservation Workers Under supervision, perform manual labor necessary to develop, maintain, or protect areas such as forests, forested areas, woodlands, wetlands, and rangelands through such activities as raising and transporting seedlings; combating insects, pests, and diseases harmful to plant life; and building structures to control water, erosion, and leaching of soil. Includes forester aides, seedling pullers, and tree planters.",0.005843920286765199
Farm Labor Contractors,"Farm Labor Contractors Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",0.005842403659501215
Physical Medicine and Rehabilitation Physicians,"Physical Medicine and Rehabilitation Physicians Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.",0.00582563258228473
Pipe Fitters and Steamfitters,"Pipe Fitters and Steamfitters Lay out, assemble, install, or maintain pipe systems, pipe supports, or related hydraulic or pneumatic equipment for steam, hot water, heating, cooling, lubricating, sprinkling, or industrial production or processing systems.",0.005821568326092533
"Information and Record Clerks, All Other","Information and Record Clerks, All Other All information and record clerks not listed separately.",0.005812845118259255
Occupational Therapy Aides,"Occupational Therapy Aides Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.",0.005811397523451841
Gas Plant Operators,Gas Plant Operators Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,0.005804730425959318
"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias.",0.005787552007248018
Gaming Supervisors,Gaming Supervisors Supervise and coordinate activities of workers in assigned gaming areas. Circulate among tables and observe operations. Ensure that stations and games are covered for each shift. May explain and interpret operating rules of house to patrons. May plan and organize activities and services for guests in hotels/casinos. May address service complaints.,0.005676037721728169
"Potters, Manufacturing","Potters, Manufacturing Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.",0.005663808477921042
Marking Clerks,"Marking Clerks Print and attach price tickets to articles of merchandise using one or several methods, such as marking price on tickets by hand or using ticket-printing machine.",0.005645487676526229
"Artists and Related Workers, All Other","Artists and Related Workers, All Other All artists and related workers not listed separately.",0.005589750541252437
Slaughterers and Meat Packers,"Slaughterers and Meat Packers Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats.",0.005587632351077208
Wind Energy Engineers,Wind Energy Engineers Design underground or overhead wind farm collector systems and prepare and develop site specifications.,0.0055686765324670885
Medical and Health Services Managers,"Medical and Health Services Managers Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",0.005567333418291738
Cleaners of Vehicles and Equipment,"Cleaners of Vehicles and Equipment Wash or otherwise clean vehicles, machinery, and other equipment. Use such materials as water, cleaning agents, brushes, cloths, and hoses.",0.005543709015002319
Respiratory Therapy Technicians,Respiratory Therapy Technicians Provide respiratory care under the direction of respiratory therapists and physicians.,0.005539211201952789
